M_ac_e,M_co2_e,M_etoh_e,M_for_e,M_glc_D_e,M_h2_e,M_lac_D_e,M_nh4_e,M_succ_e
1.204509493670885972e-01,1.000000000000000000e+00,5.511980108499094921e-01,0.000000000000000000e+00,-6.041902124773960159e-01,9.597084086799275715e-01,0.000000000000000000e+00,-3.532436708860759444e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999833e-01,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399999999999999911e+00
0.000000000000000000e+00,1.056053459119496774e+00,5.992531446540879658e-01,0.000000000000000000e+00,-9.243317610062892209e-01,1.000000000000000000e+00,5.027122641509433887e-01,-4.914308176100628534e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356179304566401012e+00,1.000000000000000000e+00,-1.765772936740678389e+01,1.501550062840385280e+01,0.000000000000000000e+00,-5.237536656891495390e+00,1.980703812316715329e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.638023172265133665e-01,0.000000000000000000e+00,-1.000000000000000000e+00,8.851827734866175579e-01,0.000000000000000000e+00,-2.807167235494880120e-01,1.163434075803843948e+00
0.000000000000000000e+00,5.663242307053547447e-02,1.900685662767799822e-01,0.000000000000000000e+00,-1.000000000000000000e+00,9.069966072741938445e-01,0.000000000000000000e+00,-2.966143918005171853e-01,1.121720562765427198e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.756179304566400923e+00,0.000000000000000000e+00,-1.765772936740678389e+01,1.501550062840385280e+01,1.000000000000000000e+00,-5.237536656891495390e+00,1.960703812316715400e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.721241940956904415e+00,1.000000000000000000e+00,1.197217509331523466e+01,-4.242280285035628928e+00,2.541567695961994833e-01
8.608904990618251318e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.241376461841654955e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.901414932911646094e-01,8.962461204404110759e-01
6.890448261416002751e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.076728110599078292e+01,8.125052366987850050e+00,1.000000000000000000e+00,-5.237536656891495390e+00,7.204231252618348513e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.064214331277907599e-02,9.746289602381458250e-01,1.625728258558366779e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.316606421433127672e-01,1.087731235381671213e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
,,,,,,,,
